run_accession	sample_accession	country	collection_date	instrument_model	library_strategy	read_count	fastq_ftp
ERR5685328	SAMEA8515185	Pakistan	2015-17	Illumina MiSeq	WGS	2120258	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/008/ERR5685328/ERR5685328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/008/ERR5685328/ERR5685328_2.fastq.gz
ERR5685335	SAMEA8515163	Pakistan	2015-17	Illumina MiSeq	WGS	451618	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/005/ERR5685335/ERR5685335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/005/ERR5685335/ERR5685335_2.fastq.gz
ERR5685337	SAMEA8515165	Pakistan	2015-17	Illumina MiSeq	WGS	966622	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/007/ERR5685337/ERR5685337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/007/ERR5685337/ERR5685337_2.fastq.gz
ERR5685340	SAMEA8515169	Pakistan	2015-17	Illumina MiSeq	WGS	1675182	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/000/ERR5685340/ERR5685340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/000/ERR5685340/ERR5685340_2.fastq.gz
ERR5685345	SAMEA8515175	Pakistan	2015-17	Illumina MiSeq	WGS	1292406	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/005/ERR5685345/ERR5685345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/005/ERR5685345/ERR5685345_2.fastq.gz
ERR5685349	SAMEA8515179	Pakistan	2015-17	Illumina MiSeq	WGS	465076	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/009/ERR5685349/ERR5685349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/009/ERR5685349/ERR5685349_2.fastq.gz
ERR5685352	SAMEA8515182	Pakistan	2015-17	Illumina MiSeq	WGS	479508	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/002/ERR5685352/ERR5685352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/002/ERR5685352/ERR5685352_2.fastq.gz
ERR5685353	SAMEA8515183	Pakistan	2015-17	Illumina MiSeq	WGS	870048	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/003/ERR5685353/ERR5685353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/003/ERR5685353/ERR5685353_2.fastq.gz
ERR5685382	SAMEA8515239	Pakistan	2015-17	Illumina MiSeq	WGS	1465422	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/002/ERR5685382/ERR5685382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/002/ERR5685382/ERR5685382_2.fastq.gz
ERR5685383	SAMEA8515240	Pakistan	2015-17	Illumina MiSeq	WGS	1027782	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/003/ERR5685383/ERR5685383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/003/ERR5685383/ERR5685383_2.fastq.gz
ERR5685409	SAMEA8515281	Pakistan	2015-17	Illumina MiSeq	WGS	1262164	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/009/ERR5685409/ERR5685409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/009/ERR5685409/ERR5685409_2.fastq.gz
ERR5685450	SAMEA8515192	Pakistan	2015-17	Illumina MiSeq	WGS	1191900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/000/ERR5685450/ERR5685450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/000/ERR5685450/ERR5685450_2.fastq.gz
ERR5685451	SAMEA8515200	Pakistan	2015-17	Illumina MiSeq	WGS	232676	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/001/ERR5685451/ERR5685451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/001/ERR5685451/ERR5685451_2.fastq.gz
ERR5685452	SAMEA8515203	Pakistan	2015-17	Illumina MiSeq	WGS	1834760	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/002/ERR5685452/ERR5685452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/002/ERR5685452/ERR5685452_2.fastq.gz
