Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR14800293,2025-07-03 22:05:09,2025-07-03 23:09:06,816351,233082515,816351,285,95,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/ERR014/14800/ERR14800293/ERR14800293.lite.1,ERX14206218,Kb-47,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP170902,PRJEB87707,,1286372,ERS23961019,SAMEA117969220,simple,573,Klebsiella pneumoniae,SAMEA117969220,,,,,,,no,,,,,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERA31651232,,public,BFF4BFFF4E19CC20F3CEB2F20E57FF8C,F1A82E6B9A5CA695861621F3953CFD0C
ERR14800366,2025-07-03 22:05:11,2025-07-03 23:10:07,1699283,485328302,1699283,285,198,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/ERR014/14800/ERR14800366/ERR14800366.lite.1,ERX14206291,Kb-91,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP170902,PRJEB87707,,1286372,ERS23961092,SAMEA117969293,simple,573,Klebsiella pneumoniae,SAMEA117969293,,,,,,,no,,,,,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERA31651232,,public,7800A1996AB0366BEE68203AD0AFF99B,E41167B7351E0AAED032064FFE94BD5C
SRR35795639,2025-12-31 02:44:15,2025-10-14 21:17:19,4152184,1052025494,4152184,253,358,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR035/35795/SRR35795639/SRR35795639.lite.1,SRX30844701,Kp-1076-PK,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP632562,PRJNA1322038,,1322038,SRS26851646,SAMN51434720,simple,573,Klebsiella pneumoniae,Kp-1076-PK,,,,,,,no,,,,,CARB-X LMIC,SRA2240490,,public,114E90A6265505938C8063927A649747,72DBAF7E469DD401EB54F52E495E96D0
SRR35795638,2025-12-31 02:44:17,2025-10-14 21:17:20,3733495,947113609,3733495,253,328,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR035/35795/SRR35795638/SRR35795638.lite.1,SRX30844702,Kp-1077-PK,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP632562,PRJNA1322038,,1322038,SRS26851647,SAMN51434721,simple,573,Klebsiella pneumoniae,Kp-1077-PK,,,,,,,no,,,,,CARB-X LMIC,SRA2240490,,public,6A935D694483F5C24128EA38BD6C33EE,6E7BB35334377595992A64F2C5F5C96B
SRR35795637,2025-12-31 02:44:47,2025-10-14 21:17:09,2487411,630712183,2487411,253,213,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR035/35795/SRR35795637/SRR35795637.lite.1,SRX30844703,Kp-1078-PK,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP632562,PRJNA1322038,,1322038,SRS26851648,SAMN51434722,simple,573,Klebsiella pneumoniae,Kp-1078-PK,,,,,,,no,,,,,CARB-X LMIC,SRA2240490,,public,C477E3DA1E57E8CC99C600AFE0AD602F,9BB51FD383D98CB148ED389512D62CFE
ERR14800308,2025-07-03 21:45:07,2025-07-04 11:43:21,2037103,584317309,2037103,286,236,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/ERR014/14800/ERR14800308/ERR14800308.lite.1,ERX14206233,Kb-16,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP170902,PRJEB87707,,1286372,ERS23961034,SAMEA117969235,simple,573,Klebsiella pneumoniae,SAMEA117969235,,,,,,,no,,,,,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERA31651232,,public,BFE58AD19F6AC39A8B823F94DDFD399B,3524F9FDCA9FE2147942DBC537B2D412
ERR14800339,2025-07-03 22:05:10,2025-07-04 11:39:06,2421870,698227002,2421870,288,279,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/ERR014/14800/ERR14800339/ERR14800339.lite.1,ERX14206264,Kb-88,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP170902,PRJEB87707,,1286372,ERS23961065,SAMEA117969266,simple,573,Klebsiella pneumoniae,SAMEA117969266,,,,,,,no,,,,,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERA31651232,,public,3DB07B06D381362079E9DD85B459E4F6,E8A4E789B0331048FACD66B7E2630016
ERR14800341,2025-07-03 22:05:10,2025-07-03 23:10:00,1936056,556630845,1936056,287,224,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/ERR014/14800/ERR14800341/ERR14800341.lite.1,ERX14206266,Kb-98,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP170902,PRJEB87707,,1286372,ERS23961067,SAMEA117969268,simple,573,Klebsiella pneumoniae,SAMEA117969268,,,,,,,no,,,,,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERA31651232,,public,8130B8F258F785A7DD95B0AD4F8BD36A,E68E1287F0FD3D89BBC9B7C5963315AD
ERR14800344,2025-07-03 22:05:10,2025-07-04 11:39:12,1293690,369191296,1293690,285,151,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/ERR014/14800/ERR14800344/ERR14800344.lite.1,ERX14206269,Kb-78,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP170902,PRJEB87707,,1286372,ERS23961070,SAMEA117969271,simple,573,Klebsiella pneumoniae,SAMEA117969271,,,,,,,no,,,,,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERA31651232,,public,04C2172D722752B5031DBBE6BC839AD2,B278E6A53017DCA82FC3C575D65EC51E
ERR14800350,2025-07-03 22:05:11,2025-07-04 11:39:05,789767,224357870,789767,284,92,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/ERR014/14800/ERR14800350/ERR14800350.lite.1,ERX14206275,Kb-21,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP170902,PRJEB87707,,1286372,ERS23961076,SAMEA117969277,simple,573,Klebsiella pneumoniae,SAMEA117969277,,,,,,,no,,,,,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERA31651232,,public,B10171124BA9CBB82B9B535695FF8DAE,D59A6E7CE7340F0E7442E3CCCC4A073D
